muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
 1.09312, -1.96037, 54.2493, -1.91103, 0.23134, 161.486, 0.392806, -0.853233, 10.7196, 2.82107, 2.56615, 19.849
 -1.58264, 1.29215, 86.2883, -2.38923, 1.0329, 88.4468, 1.12909, 0.95123, 10.0159, -1.98922, -2.0023, -1000
 2.74246, 0.603927, 5.43002, 1.40431, 1.96532, 206.857, -1.38771, -0.183053, 10.4248, 0.910782, 2.40921, 22.5121
 0.560882, -0.275939, 64.7861, 2.50464, 1.74028, 165.324, -1.62758, 1.93171, 10.2647, 1.90213, -2.25563, 28.2554
 1.77154, -0.645206, 55.1625, 0.215307, 0.793128, 213.878, -3.07314, -0.666427, 10.1273, -1.85265, 2.43859, 40.3438
 -2.96797, -0.372177, 33.322, -1.14276, -0.0713328, 46.1037, 0.654992, -1.06288, 10.4659, 0.515215, 2.78639, 58.4413
 1.88426, 0.0206909, 72.496, -0.564894, -1.4319, 35.2234, -2.45, 1.04765, 10.0533, 1.368, -1.40229, 69.0745
 2.68141, -1.77466, 59.6204, 0.599554, -0.0467056, 65.2466, -2.67498, -0.484048, 11.4689, -2.80733, -2.7628, -1000
 2.50344, 1.11661, 51.3388, 0.641874, -1.68548, 112.361, 2.13928, -0.255322, 10.262, -0.452338, -2.50765, 23.5536
 0.600716, 0.108086, 107.428, -2.42059, 0.963524, 130.006, 0.241356, 0.821367, 10.1733, -1.41024, 0.690583, 178.086
 3.01758, 1.90644, 45.0274, -0.775004, 0.534046, 265.072, 2.46737, 2.21315, 10.3211, 1.37344, 1.49737, 96.7206
 -2.30514, -1.42362, 34.8915, -2.79858, 0.869959, 63.1431, -0.0132432, 0.12439, 10.2943, 1.68583, -0.920004, -1000
 -0.222173, -0.00688044, 279.794, 2.81847, -0.284592, 85.2073, -0.760497, 0.7303, 10.2748, -1.00362, -0.0925822, 76.2138
 -0.825634, 0.540246, 35.5094, -1.12549, -0.825844, 84.067, 2.00549, -0.184072, 10.4218, 2.5157, -1.05948, 26.4201
 -2.29929, -0.950045, 45.0158, 0.680088, 0.817857, 146.356, 3.10457, -0.0704155, 10.5661, -0.327168, 2.75413, -1000
 0.385751, 0.301085, 36.8714, -1.93845, -2.20666, 31.6922, -0.539886, -2.65922, 11.5289, 2.45914, 2.27836, 59.1563
 2.13324, 0.675397, 45.314, -0.194023, 0.922365, 123.973, -0.922156, -0.0756508, 10.1894, 0.477856, 2.35481, 47.7733
